angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[518, 304, 267, 349]",0.0,0.01,0.06,0.79,0.11,0.0
0.01,"[516, 304, 267, 348]",0.0,0.0,0.02,0.92,0.05,0.0
0.01,"[510, 307, 270, 351]",0.0,0.0,0.0,0.95,0.04,0.0
0.03,"[515, 307, 263, 339]",0.0,0.02,0.01,0.89,0.05,0.0
0.02,"[514, 300, 259, 332]",0.0,0.0,0.0,0.93,0.04,0.0
0.03,"[513, 295, 258, 341]",0.0,0.01,0.02,0.87,0.06,0.0
0.03,"[515, 297, 261, 341]",0.0,0.01,0.01,0.87,0.08,0.0
0.02,"[508, 305, 263, 328]",0.01,0.02,0.01,0.64,0.3,0.0
0.03,"[494, 292, 262, 343]",0.0,0.0,0.0,0.9,0.06,0.0
0.01,"[494, 285, 274, 356]",0.0,0.0,0.01,0.95,0.03,0.0
0.03,"[457, 240, 298, 391]",0.0,0.01,0.01,0.87,0.08,0.0
0.1,"[386, 158, 317, 420]",0.0,0.06,0.01,0.62,0.15,0.06
0.2,"[276, 9, 375, 486]",0.01,0.13,0.05,0.42,0.06,0.13
0.07,"[403, 102, 304, 409]",0.01,0.11,0.12,0.33,0.11,0.24
0.06,"[483, 245, 234, 302]",0.0,0.04,0.02,0.77,0.1,0.01
0.05,"[528, 307, 212, 266]",0.0,0.02,0.0,0.83,0.1,0.0
0.03,"[530, 313, 220, 265]",0.0,0.02,0.0,0.85,0.09,0.0
0.02,"[518, 295, 245, 309]",0.01,0.01,0.01,0.78,0.16,0.0
0.04,"[512, 304, 245, 313]",0.0,0.01,0.0,0.87,0.08,0.0
0.06,"[519, 290, 240, 320]",0.0,0.04,0.0,0.85,0.05,0.0
0.06,"[520, 288, 244, 325]",0.01,0.04,0.0,0.83,0.06,0.01
0.06,"[521, 292, 243, 322]",0.0,0.1,0.0,0.76,0.07,0.01
0.06,"[516, 292, 244, 318]",0.0,0.01,0.0,0.88,0.04,0.0
0.09,"[513, 330, 239, 300]",0.0,0.02,0.0,0.67,0.21,0.0
0.03,"[512, 300, 240, 312]",0.0,0.01,0.0,0.9,0.06,0.0
0.03,"[517, 293, 244, 324]",0.01,0.01,0.0,0.91,0.03,0.01
0.05,"[519, 291, 245, 322]",0.01,0.06,0.05,0.76,0.06,0.01
0.07,"[511, 291, 252, 328]",0.01,0.01,0.0,0.88,0.03,0.0
0.05,"[510, 289, 245, 322]",0.01,0.02,0.01,0.86,0.06,0.0
0.05,"[505, 287, 244, 328]",0.0,0.05,0.0,0.79,0.06,0.05
